account_id,ticker,sector,composite_score,target_weight_pct,target_dollars,purchase_date,purchase_price_rule,quantity_rule,active
PORTFOLIO_125,GOOGL,Communication Services,100,10,500,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,MU,Information Technology,97.3,6.255,312.75,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,AMD,Information Technology,83.78,6.255,312.75,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,AMAT,Information Technology,79.73,4.54,226.98,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,AMZN,Consumer Discretionary,85.11,4.316,215.81,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,LRCX,Information Technology,78.38,4.064,203.21,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,LLY,Health Care,94.92,3.641,182.03,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,BAC,Financials,92.11,2.508,125.38,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,SNDK,Information Technology,100,2.399,119.95,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,UNH,Health Care,89.83,2.277,113.87,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,STX,Information Technology,94.59,2.083,104.16,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,KO,Consumer Staples,88.24,2.082,104.11,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,CAT,Industrials,86.42,2.032,101.62,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,WDC,Information Technology,95.95,1.95,97.49,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,GS,Financials,86.84,1.897,94.84,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,ADI,Information Technology,77.03,1.882,94.12,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
PORTFOLIO_125,GE,Industrials,83.95,1.795,89.74,2026-07-24,official_open,"round(target_dollars / official_open, 2)",true
